State,High school graduation,Median household income,Violent crime
MA,0.829,46660,429.39
MA,0.872,51431,402.71
MA,0.849,53670,589.14
MA,0.844,53626,555.72
MA,0.915,56784,243.22
MA,0.913,58276,235.59
MA,0.819,67408,359.81
MA,0.838,67235,370.19
MA,0.786,54159,371.87
MA,0.815,51828,378.55
MA,0.715,48386,670.46
MA,0.732,48560,640.78
MA,0.87,58206,244.06
MA,0.882,61911,245.34
MA,0.883,81924,277.72
MA,0.895,82118,257.34
MA,0.875,70286,465.61
MA,0.875,71259,460.21
MA,0.905,80192,213.27
MA,0.923,83830,203.21
MA,0.873,72795,447.84
MA,0.887,75264,431.83
MA,0.629,50884,960.21
MA,0.653,54164,909.79
MA,0.853,62318,452.63
MA,0.856,62268,447.12
MD,0.88,38670,404.13
MD,0.9,39994,374.28
MD,0.84,87083,554.13
MD,0.85,85685,507.28
MD,0.82,62413,547.43
MD,0.84,64624,526.43
MD,0.66,39077,1485.08
MD,0.66,41988,1448.9
MD,0.91,87215,227.42
MD,0.92,91993,169.87
MD,0.8,48772,365.5
MD,0.87,46015,355.9
MD,0.93,79304,196.2
MD,0.95,82073,180.29
MD,0.83,62443,653.95
MD,0.84,64880,588.19
MD,0.88,89203,456.74
MD,0.9,87577,421.52
MD,0.79,41931,524.21
MD,0.79,42542,503.55
MD,0.92,80427,302.43
MD,0.93,83489,274.29
MD,0.91,41515,207.07
MD,0.94,44404,207.0
MD,0.87,76220,323.52
MD,0.88,77453,296.01
MD,0.91,108234,224.82
MD,0.9,108503,200.95
MD,0.825,49969,341.34
MD,0.925,55695,339.43
MD,0.87,94365,193.82
MD,0.87,97873,181.8
MD,0.75,69258,702.44
MD,0.73,71682,624.17
MD,0.9,79012,267.8
MD,0.92,80143,249.88
MD,0.77,34454,337.94
MD,0.84,36106,312.09
MD,0.84,85478,286.15
MD,0.88,78274,266.09
MD,0.88,61529,223.83
MD,0.89,57525,223.07
MD,0.9,52604,290.82
MD,0.9,55643,287.74
MD,0.78,50204,761.57
MD,0.81,47536,625.36
MD,0.92,55875,509.14
MD,0.93,52276,447.21
ME,0.776,43692,155.4
ME,0.801,44097,152.07
ME,0.857,37996,72.08
ME,0.863,37092,79.44
ME,0.866,55456,155.49
ME,0.881,55020,145.17
ME,0.813,36729,147.75
ME,0.809,41154,144.09
ME,0.821,45564,74.69
ME,0.84,44463,78.92
ME,0.817,45779,133.82
ME,0.841,45151,150.14
ME,0.84,46850,59.08
ME,0.875,48352,66.27
ME,,50379,95.58
ME,,48908,108.57
ME,0.825,41280,119.42
ME,0.841,38932,110.73
ME,0.822,41820,76.65
ME,0.843,43615,79.05
ME,0.849,35816,171.27
ME,,36553,171.43
ME,0.843,51168,32.72
ME,0.845,52279,38.75
ME,0.781,38706,98.86
ME,0.827,38279,106.7
ME,0.826,39917,78.42
ME,0.872,43203,73.92
ME,0.789,36657,242.88
ME,0.848,35754,223.65
ME,0.852,52663,120.92
ME,0.861,55163,132.64
MI,0.825,37443,143.85
MI,0.875,36334,140.74
MI,,38916,175.11
MI,,38821,163.68
MI,0.813,50786,229.54
MI,0.812,55274,217.09
MI,0.7,37330,225.15
MI,0.69,38784,179.5
MI,0.875,42419,167.02
MI,0.869,46890,166.02
MI,0.769,37924,195.9
MI,0.857,38201,172.83
MI,0.799,38581,323.29
MI,0.865,40402,313.41
MI,0.796,55522,175.22
MI,0.838,51040,165.61
MI,0.754,44242,309.4
MI,0.762,42305,305.29
MI,0.792,42675,118.07
MI,0.771,43145,106.68
MI,0.777,43324,379.13
MI,0.762,44291,390.63
MI,0.805,43429,191.93
MI,0.789,43947,185.71
MI,0.74,40847,668.93
MI,0.73,44343,639.4
MI,0.665,44233,166.94
MI,0.77,42875,162.24
MI,0.746,44541,167.35
MI,0.761,45629,150.2
MI,0.817,37610,137.57
MI,0.86,37949,134.24
MI,0.721,40273,226.99
MI,0.745,45416,252.94
MI,0.717,32274,155.32
MI,0.757,33605,155.32
MI,0.921,59008,95.15
MI,0.897,61733,105.64
MI,0.725,37169,319.59
MI,0.725,37627,289.37
MI,0.854,42116,137.85
MI,0.865,41287,177.09
MI,0.853,42025,
MI,0.851,43290,
MI,0.753,55229,182.17
MI,0.783,53764,176.16
MI,0.806,49647,126.28
MI,0.865,48399,121.14
MI,0.718,40483,808.66
MI,0.704,41393,854.01
MI,0.797,37442,174.96
MI,0.782,35049,205.87
MI,0.785,34444,
MI,0.746,33679,104.34
MI,0.831,51030,165.79
MI,0.839,50755,155.15
MI,0.825,42657,139.45
MI,0.729,42026,138.5
MI,0.75,40179,196.68
MI,0.743,40363,198.73
MI,0.874,35758,95.22
MI,0.878,36947,83.72
MI,0.84,40459,123.85
MI,0.899,41044,123.41
MI,0.709,43864,561.4
MI,0.733,44979,535.78
MI,0.828,50695,193.13
MI,0.827,49047,174.87
MI,0.692,34343,227.3
MI,0.737,36103,205.65
MI,0.835,34167,185.81
MI,0.891,34698,172.94
MI,0.776,38041,167.86
MI,0.742,39991,186.04
MI,0.757,43827,400.16
MI,0.766,45002,365.79
MI,0.744,45093,429.79
MI,0.776,46445,399.76
MI,0.759,40135,308.68
MI,0.759,39269,306.88
MI,0.753,50674,416.94
MI,0.762,51997,408.84
MI,,30897,323.51
MI,,30656,285.99
MI,0.857,51627,157.09
MI,0.859,53506,156.39
MI,0.789,54494,56.79
MI,0.722,56335,41.62
MI,0.785,48427,250.19
MI,0.823,46693,242.58
MI,0.83,75744,98.26
MI,0.838,71075,97.86
MI,0.875,38384,420.58
MI,0.925,38284,342.64
MI,,36562,229.6
MI,,38839,222.47
MI,0.754,52275,315.7
MI,0.765,52954,303.04
MI,0.783,39319,159.48
MI,0.803,41258,194.14
MI,0.831,44629,163.47
MI,0.847,45170,158.04
MI,0.776,40752,245.06
MI,0.75,40438,249.75
MI,0.697,39253,524.95
MI,0.768,39764,543.08
MI,0.694,38157,135.34
MI,0.768,40866,170.02
MI,0.831,53208,143.53
MI,0.856,53007,126.93
MI,0.818,40917,31.33
MI,0.85,40226,62.77
MI,0.799,51898,247.2
MI,0.83,55745,266.84
MI,0.864,41205,238.91
MI,0.864,40790,231.99
MI,,34336,103.98
MI,,33742,82.24
MI,0.709,40580,437.18
MI,0.737,41556,472.01
MI,0.741,43060,240.58
MI,0.748,43238,242.63
MI,0.784,63511,246.38
MI,0.797,67281,223.03
MI,0.695,38233,186.49
MI,0.782,43134,177.3
MI,0.675,33769,220.07
MI,0.775,34778,211.07
MI,,34501,98.78
MI,,33116,128.98
MI,0.819,36023,290.66
MI,0.798,38407,260.75
MI,,33046,322.93
MI,,31094,297.45
MI,0.851,48242,174.84
MI,0.824,47016,182.31
MI,0.845,55158,165.57
MI,0.864,57994,167.65
MI,,38019,145.84
MI,,38648,130.64
MI,0.645,34536,188.43
MI,0.703,31690,199.15
MI,0.747,40421,857.41
MI,0.769,41510,819.29
MI,0.875,39315,202.25
MI,0.84,41502,195.85
MI,0.875,37795,263.19
MI,0.825,38514,253.48
MI,0.811,42893,243.46
MI,0.811,43839,236.35
MI,0.783,44994,265.89
MI,0.796,49949,256.91
MI,0.779,40693,295.04
MI,0.806,43891,293.98
MI,0.807,42165,171.75
MI,0.824,41441,176.9
MI,0.725,44119,328.54
MI,0.75,44782,312.28
MI,0.802,56618,323.91
MI,0.833,59965,316.71
MI,0.698,39461,1122.41
MI,0.741,40485,1088.54
MI,0.787,36514,353.17
MI,0.79,39566,324.89
MN,0.855,38871,138.6
MN,0.758,41784,128.96
MN,0.777,67811,172.63
MN,0.781,70619,157.48
MN,0.819,47356,96.37
MN,0.85,49183,86.52
MN,0.555,42655,312.83
MN,0.591,42364,286.39
MN,0.915,52308,146.85
MN,0.922,51564,137.79
MN,,44210,71.66
MN,,44637,56.78
MN,0.833,48788,169.87
MN,0.831,51283,196.57
MN,0.771,48348,50.01
MN,0.853,52061,30.52
MN,0.798,50049,124.41
MN,0.809,52670,119.93
MN,0.786,85064,58.09
MN,0.805,86759,62.68
MN,0.617,43491,212.03
MN,0.696,48367,272.33
MN,0.836,49545,157.98
MN,0.799,55232,149.83
MN,0.8,65617,78.31
MN,0.795,71397,79.41
MN,0.786,51954,101.23
MN,0.774,52567,115.32
MN,0.804,40704,353.98
MN,0.771,44123,273.9
MN,,46621,176.46
MN,,48124,134.25
MN,0.877,44449,147.07
MN,,45453,119.23
MN,0.833,47061,163.32
MN,0.801,48661,157.44
MN,0.799,71574,110.62
MN,0.809,73833,119.61
MN,0.931,65548,193.89
MN,0.927,73799,192.74
MN,0.802,53096,106.41
MN,0.8,52122,105.8
MN,0.804,42833,98.38
MN,0.764,47191,98.13
MN,0.896,49370,31.16
MN,,51323,42.98
MN,0.701,44988,123.98
MN,0.684,47698,121.12
MN,0.869,56875,107.99
MN,0.873,61428,122.81
MN,,47616,60.87
MN,0.841,49618,60.74
MN,0.641,62500,453.01
MN,0.663,64331,430.77
MN,0.72,50523,75.02
MN,0.699,51160,81.09
MN,0.85,44140,100.16
MN,0.784,46530,83.0
MN,0.752,58318,74.1
MN,0.793,58436,69.9
MN,0.811,43504,199.82
MN,0.772,46834,214.31
MN,0.968,52892,95.81
MN,0.954,56397,80.96
MN,0.892,44229,315.27
MN,0.867,46940,294.62
MN,0.698,48993,183.25
MN,0.744,53290,176.82
MN,,44299,29.56
MN,,48458,21.93
MN,0.833,43762,173.74
MN,0.82,44817,184.15
MN,0.933,50963,55.4
MN,0.896,46805,50.43
MN,0.875,49369,111.18
MN,0.875,50875,88.66
MN,,41084,74.62
MN,,42644,57.59
MN,0.906,58326,85.07
MN,0.925,60190,64.25
MN,,43959,62.4
MN,,48205,96.07
MN,0.832,48753,165.48
MN,0.842,51011,153.05
MN,0.622,37754,368.34
MN,,39706,356.29
MN,,52791,105.62
MN,,53692,84.23
MN,0.833,47212,73.99
MN,0.816,51118,76.6
MN,0.834,54231,135.03
MN,0.87,54971,131.52
MN,0.937,50174,138.54
MN,0.886,55327,135.34
MN,0.809,45101,129.88
MN,0.824,48978,178.25
MN,0.819,48387,79.21
MN,0.842,48716,74.93
MN,0.759,46315,200.05
MN,0.791,50479,218.22
MN,0.907,50353,27.09
MN,0.935,53300,34.35
MN,0.879,58882,109.15
MN,0.879,58620,99.26
MN,0.757,47713,170.67
MN,0.78,50936,141.18
MN,,45043,72.97
MN,,45276,36.32
MN,0.8,64385,186.28
MN,0.817,65829,176.71
MN,0.769,50645,80.28
MN,0.777,48157,85.13
MN,0.82,46483,105.35
MN,0.877,47300,130.55
MN,0.815,45943,137.08
MN,0.802,43026,146.33
MN,0.881,47143,27.94
MN,0.881,47613,31.22
MN,0.849,47679,181.68
MN,0.84,52706,208.2
MN,0.875,50692,42.29
MN,0.825,55404,60.53
MN,0.713,53707,466.08
MN,0.706,56293,460.92
MN,,45228,97.85
MN,,45019,56.72
MN,0.894,48775,163.76
MN,0.86,50453,165.58
MN,0.91,50502,116.19
MN,0.86,53823,86.9
MN,0.779,59332,152.13
MN,0.833,58644,140.5
MN,0.832,51766,779.99
MN,0.813,54045,787.12
MN,0.919,53261,74.11
MN,0.862,51576,70.18
MN,0.874,86324,136.65
MN,0.88,85481,126.31
MN,0.907,69865,106.91
MN,0.897,74915,110.62
MN,0.76,53732,0.0
MN,0.746,56007,0.0
MN,0.765,46601,240.8
MN,0.766,46022,233.46
MN,0.831,53986,193.34
MN,0.823,56705,197.24
MN,0.852,56940,123.57
MN,0.856,53932,110.17
MN,0.85,50832,123.42
MN,0.9,56140,119.56
MN,0.797,48660,88.2
MN,0.804,52083,126.09
MN,0.711,46765,79.85
MN,0.739,43974,98.7
MN,,45907,250.88
MN,,50451,196.46
MN,0.873,55686,54.12
MN,0.929,52617,47.24
MN,0.836,37577,184.98
MN,0.825,39805,156.14
MN,0.88,52927,133.0
MN,0.884,53448,140.1
MN,0.9,80647,82.85
MN,0.887,81052,74.35
MN,0.814,47115,102.14
MN,0.866,48064,91.76
MN,0.833,51940,56.66
MN,0.871,52849,70.58
MN,0.819,49753,114.82
MN,0.823,49636,104.5
MN,0.88,72216,80.74
MN,0.88,71999,75.74
MN,0.958,53266,116.81
MN,0.957,50311,114.91
MO,0.876,32870,413.12
MO,0.921,35282,397.88
MO,0.878,55638,56.19
MO,0.878,54185,59.76
MO,,45187,74.79
MO,,43215,123.75
MO,0.901,38570,163.16
MO,0.829,41164,181.07
MO,0.893,34712,304.87
MO,0.913,36573,268.82
MO,0.874,37460,168.54
MO,0.928,37723,177.42
MO,0.839,39382,315.32
MO,0.888,38586,302.71
MO,0.918,32409,315.93
MO,0.854,32563,305.24
MO,,37664,176.85
MO,,37627,188.43
MO,0.848,45885,423.05
MO,0.864,49118,407.88
MO,0.842,41774,406.31
MO,0.915,43461,364.91
MO,0.793,34414,456.79
MO,0.802,35381,491.06
MO,0.878,40814,284.08
MO,0.93,41546,326.07
MO,0.801,44391,265.58
MO,0.822,45573,265.64
MO,0.845,41858,169.33
MO,0.921,41314,191.32
MO,0.803,45979,453.46
MO,0.872,44248,421.19
MO,0.886,41139,88.26
MO,0.828,41279,121.86
MO,,29156,113.9
MO,0.905,30017,121.5
MO,0.885,56402,151.05
MO,0.89,63031,166.4
MO,0.901,32077,252.05
MO,0.925,30816,307.22
MO,,41066,313.74
MO,,40352,312.89
MO,0.906,52413,243.02
MO,0.935,51394,214.68
MO,0.825,38650,191.04
MO,0.925,39712,168.73
MO,0.863,58151,755.07
MO,0.894,60641,
MO,0.838,55392,273.77
MO,0.884,52461,289.41
MO,0.707,51555,386.01
MO,0.721,52023,387.48
MO,0.868,42857,134.23
MO,0.914,44397,126.51
MO,0.805,34840,212.37
MO,0.833,37299,214.61
MO,,34416,120.89
MO,,36720,152.43
MO,0.825,33997,235.21
MO,0.825,37540,204.39
MO,,39549,100.81
MO,,38332,91.18
MO,,42004,117.55
MO,,44286,88.51
MO,0.925,33413,184.55
MO,0.925,34761,197.55
MO,0.925,30550,291.0
MO,0.925,31289,219.56
MO,0.808,29976,355.73
MO,0.903,32050,372.7
MO,0.819,45061,190.53
MO,0.851,51138,192.21
MO,0.893,40723,227.33
MO,0.925,41270,199.14
MO,,38661,15.29
MO,,39265,9.85
MO,0.833,40570,543.48
MO,0.879,38525,582.08
MO,0.921,35256,150.07
MO,0.911,37172,159.06
MO,0.76,37053,145.58
MO,,36229,123.0
MO,0.83,41189,336.76
MO,0.846,39666,382.74
MO,0.934,30163,24.69
MO,0.923,30040,24.19
MO,,40036,129.23
MO,,41213,129.56
MO,,37742,128.77
MO,,41356,140.27
MO,0.837,32492,302.12
MO,0.905,31665,295.84
MO,0.864,34913,211.94
MO,0.885,32994,319.0
MO,0.729,44634,806.85
MO,0.795,46802,814.9
MO,0.812,37743,402.9
MO,0.841,40530,404.64
MO,0.849,53013,261.94
MO,0.905,55305,237.48
MO,0.882,44742,150.82
MO,0.925,45011,149.13
MO,,33164,130.5
MO,,34894,96.69
MO,0.87,36670,594.17
MO,0.888,36632,592.07
MO,0.933,46765,126.86
MO,0.937,46878,116.62
MO,0.811,35385,376.43
MO,0.913,38724,416.87
MO,0.866,41204,72.49
MO,0.882,41187,52.23
MO,0.872,53542,211.43
MO,0.885,54144,218.93
MO,0.865,36602,184.08
MO,0.894,37773,199.17
MO,0.813,39399,228.56
MO,0.878,38839,180.03
MO,0.885,36801,190.18
MO,0.862,38110,213.63
MO,0.864,33280,160.21
MO,0.909,33631,100.78
MO,0.835,41258,276.39
MO,,40404,308.62
MO,0.869,40726,299.28
MO,0.913,40981,240.22
MO,0.83,32618,384.93
MO,0.9,35915,493.72
MO,,38007,207.54
MO,,38726,184.29
MO,0.814,36070,373.63
MO,0.905,36552,264.77
MO,0.774,28412,456.38
MO,0.898,31421,531.31
MO,0.839,42684,127.09
MO,0.892,46123,117.03
MO,0.929,39286,305.1
MO,0.927,38940,256.78
MO,0.906,39493,126.78
MO,0.92,39750,135.84
MO,0.898,33618,250.65
MO,0.934,32761,348.2
MO,0.886,34544,248.71
MO,0.89,34927,237.44
MO,0.851,41623,233.59
MO,0.888,41440,241.77
MO,0.896,40296,207.55
MO,0.884,41952,184.82
MO,0.941,28146,180.92
MO,,29464,213.15
MO,0.922,49989,180.91
MO,0.93,48990,172.62
MO,,31430,174.37
MO,,30799,219.98
MO,0.753,30295,727.09
MO,0.789,28664,769.15
MO,0.875,47227,158.39
MO,0.925,53798,168.16
MO,0.906,37255,439.0
MO,0.939,39527,357.22
MO,0.812,38999,321.93
MO,0.873,38930,315.68
MO,0.83,38919,223.05
MO,0.839,39499,178.76
MO,0.911,67299,446.97
MO,0.919,68411,184.09
MO,0.868,37677,419.59
MO,0.89,38023,400.57
MO,0.851,46579,311.76
MO,0.85,49499,318.72
MO,0.925,35217,20.37
MO,,34106,0.0
MO,0.975,47429,135.8
MO,0.875,49393,88.21
MO,0.898,38882,140.69
MO,0.902,38988,150.69
MO,0.856,48680,186.59
MO,0.897,52430,198.93
MO,,30093,308.56
MO,,32089,339.73
MO,0.792,29942,191.69
MO,0.839,30843,231.02
MO,0.88,38788,224.17
MO,0.853,38230,210.55
MO,,31833,46.22
MO,,36029,52.76
MO,,35365,145.0
MO,,36511,55.02
MO,0.894,38105,788.82
MO,0.915,40441,901.17
MO,0.805,27750,181.47
MO,0.875,26538,256.3
MO,0.934,38301,99.27
MO,,40420,104.93
MO,0.854,70456,156.75
MO,0.898,70468,149.88
MO,,31503,166.25
MO,,30612,187.68
MO,0.85,35883,243.69
MO,0.895,37696,260.78
MO,0.825,56409,318.96
MO,0.86,59284,311.92
MO,0.552,32084,1989.54
MO,0.623,34346,1885.3
MO,0.9,48977,307.09
MO,0.875,48266,297.17
MO,0.896,38194,197.62
MO,0.858,37689,194.64
MO,0.901,39726,323.64
MO,0.904,39018,325.26
MO,,37056,229.79
MO,,37039,203.74
MO,0.875,35613,539.54
MO,0.938,34860,520.55
MO,0.867,32116,88.87
MO,0.865,34266,81.26
MO,0.796,38242,437.78
MO,0.83,35090,430.62
MO,0.857,49068,289.68
MO,0.922,52517,277.5
MO,0.842,33397,175.63
MO,0.886,33491,178.56
MO,0.853,30729,85.69
MO,0.934,31208,103.47
MO,0.9,42285,102.15
MO,0.912,44069,125.64
MO,,35127,220.3
MO,0.922,30349,240.38
MO,0.961,29605,222.74
MS,0.61,29940,355.19
MS,0.61,31385,337.63
MS,0.817,35583,
MS,0.813,33467,
MS,0.575,32724,
MS,0.575,33571,
MS,0.805,33679,
MS,0.807,31644,
MS,0.775,29037,
MS,0.775,30198,
MS,0.748,28832,247.62
MS,0.749,29622,263.31
MS,0.775,31353,
MS,0.775,32656,
MS,0.775,36906,113.24
MS,0.775,37283,113.24
MS,0.714,31601,216.03
MS,0.716,32525,202.26
MS,0.775,32814,178.56
MS,0.775,32922,156.52
MS,0.875,26152,640.19
MS,0.875,25438,502.6
MS,0.863,33749,
MS,0.859,34141,
MS,0.76,30057,373.17
MS,0.76,30935,383.56
MS,0.621,25662,725.81
MS,0.608,27500,716.83
MS,0.755,31147,
MS,0.757,32060,
MS,0.69,32932,
MS,0.69,32999,
MS,0.86,55011,183.43
MS,0.86,59043,176.4
MS,0.775,32210,187.09
MS,0.779,34391,176.43
MS,0.825,31287,203.5
MS,0.825,35963,193.41
MS,0.82,46194,99.17
MS,0.82,43597,63.71
MS,0.825,37234,70.29
MS,0.825,38192,50.12
MS,0.68,32677,356.47
MS,0.68,31703,393.96
MS,0.819,41308,
MS,0.822,43870,
MS,0.79,40782,250.75
MS,0.793,41657,232.71
MS,0.687,34786,715.71
MS,0.687,34826,731.97
MS,0.671,22535,
MS,0.674,22674,
MS,0.825,22945,
MS,0.825,22599,
MS,,31254,
MS,0.81,36308,110.69
MS,0.81,39927,121.61
MS,0.788,45993,355.93
MS,0.785,47813,323.28
MS,0.816,31861,
MS,0.814,33606,
MS,0.725,24437,346.06
MS,0.725,26401,365.96
MS,0.725,27098,
MS,0.725,27754,
MS,0.746,35322,314.97
MS,0.741,36204,276.52
MS,0.675,29162,63.96
MS,0.675,30849,48.57
MS,0.839,40696,
MS,0.839,40749,
MS,0.823,48057,109.95
MS,0.825,51337,75.71
MS,0.67,35874,336.77
MS,0.693,35038,328.82
MS,0.825,35342,
MS,0.825,36317,
MS,0.75,30062,29.67
MS,0.775,34099,33.54
MS,0.7,41371,157.4
MS,0.699,43221,135.61
MS,0.695,25075,611.01
MS,0.704,24704,601.95
MS,0.691,35653,132.36
MS,0.697,33632,133.54
MS,0.745,36626,224.78
MS,0.742,38839,230.53
MS,0.815,60387,141.61
MS,0.817,64657,113.29
MS,0.736,31334,197.13
MS,0.735,32628,193.48
MS,0.678,33423,
MS,0.679,36728,
MS,0.753,36089,
MS,0.752,36264,
MS,0.748,29863,
MS,0.745,30128,
MS,0.784,34881,
MS,0.769,34719,
MS,0.829,33333,
MS,0.83,36904,
MS,0.675,26021,
MS,0.675,26459,
MS,0.663,32132,201.32
MS,0.663,33594,181.11
MS,0.65,33489,299.19
MS,0.633,33129,340.69
MS,0.795,36001,170.47
MS,0.796,41706,162.98
MS,0.725,33667,
MS,0.735,34771,
MS,0.721,32196,292.46
MS,0.718,30835,283.12
MS,0.861,39710,32.48
MS,0.861,40245,43.31
MS,0.829,33705,
MS,0.838,34219,
MS,0.675,24117,
MS,0.675,26100,
MS,0.833,56101,116.42
MS,0.834,55838,107.87
MS,0.756,32989,237.6
MS,0.759,31850,280.99
MS,0.675,26139,72.12
MS,0.675,27380,72.12
MS,0.77,34538,245.02
MS,0.77,35039,223.61
MS,0.79,34678,
MS,0.79,36581,
MS,0.825,41097,
MS,0.825,40294,
MS,0.684,25272,503.2
MS,0.686,28562,503.2
MS,0.653,27121,
MS,0.656,29780,
MS,0.795,40811,79.28
MS,0.795,40624,84.53
MS,0.773,34142,82.06
MS,0.78,35908,52.44
MS,0.89,34223,
MS,0.89,35891,66.17
MS,0.575,30200,701.99
MS,0.575,30033,533.37
MS,0.853,40337,39.13
MS,0.849,40148,35.47
MS,0.775,28920,71.23
MS,0.775,30289,71.23
MS,0.56,38911,402.29
MS,0.56,41883,389.93
MS,0.574,28444,264.71
MS,0.555,28948,295.46
MS,0.76,33140,
MS,0.76,31688,
MS,0.925,35278,
MS,0.925,34930,
MS,0.575,26894,
MS,0.575,26373,
MS,0.725,32128,101.75
MS,0.725,30961,109.41
MS,0.634,32164,
MS,0.624,32660,
MS,0.639,28499,
MS,0.64,28757,
MT,0.875,38381,185.85
MT,0.818,40054,158.07
MT,0.641,36322,232.56
MT,0.649,38026,199.86
MT,,36250,170.92
MT,,35215,237.35
MT,0.875,45833,256.01
MT,,46246,275.4
MT,,43641,234.06
MT,,46413,250.47
MT,0.781,42192,244.33
MT,0.794,43674,230.69
MT,,39833,148.6
MT,,41177,125.64
MT,0.875,41059,159.01
MT,0.825,43958,189.61
MT,,47421,195.16
MT,0.773,47120,170.2
MT,0.865,50650,203.22
MT,0.825,36125,360.52
MT,0.925,37542,338.77
MT,,50108,129.24
MT,,59083,91.09
MT,0.838,40114,192.93
MT,0.855,41111,249.19
MT,0.8,45742,320.05
MT,0.848,46885,297.89
MT,0.828,51394,174.5
MT,0.86,56680,192.89
MT,0.781,34508,241.17
MT,0.721,33648,273.16
MT,,39713,88.86
MT,,41391,53.91
MT,0.715,41194,541.41
MT,0.755,43244,481.1
MT,,59105,160.34
MT,,59001,145.46
MT,,38878,0.0
MT,,41731,48.54
MT,0.883,33021,385.4
MT,0.871,39219,392.43
MT,0.831,54096,298.67
MT,0.831,53982,311.27
MT,0.876,34764,210.15
MT,0.897,34926,224.47
MT,,41367,69.47
MT,,44046,73.39
MT,,32643,159.04
MT,,35694,174.73
MT,,33935,113.45
MT,,36169,23.58
MT,0.875,44320,269.39
MT,0.884,45895,281.42
MT,,39474,396.68
MT,,39403,310.47
MT,0.882,40399,226.68
MT,0.8,42439,244.74
MT,,38913,258.46
MT,,40202,202.74
MT,,37441,159.74
MT,,40694,150.04
MT,0.875,37323,198.4
MT,0.875,39820,197.17
MT,,41843,113.15
MT,0.835,38445,245.67
MT,0.889,39487,247.6
MT,0.899,56492,128.44
MT,0.861,64171,188.06
MT,0.657,34278,314.33
MT,0.527,34291,354.23
MT,,49212,220.12
MT,,50597,178.62
MT,0.869,33598,264.33
MT,,34847,194.5
MT,,47842,219.96
MT,,50292,311.22
MT,0.79,39835,345.48
MT,0.78,40691,274.86
MT,,54994,166.35
MT,,58109,210.83
MT,,43193,242.39
MT,,43146,182.12
MT,,41236,104.73
MT,,43828,92.73
MT,,42057,423.46
MT,,44252,331.87
MT,0.836,41694,124.92
MT,0.786,45747,147.7
MT,,30385,137.17
MT,,32519,161.22
MT,0.788,49405,238.3
MT,0.826,52079,260.05
NC,0.763,41394,426.16
NC,0.758,43001,420.93
NC,0.77,39655,161.9
NC,0.85,46064,142.45
NC,0.825,34046,
NC,0.875,37086,
NC,0.76,32339,455.74
NC,0.74,33443,477.16
NC,0.81,34080,140.15
NC,0.8,35155,107.2
NC,0.842,34727,126.53
NC,0.911,34933,130.75
NC,0.76,38256,383.78
NC,0.72,39043,351.75
NC,0.79,30414,173.74
NC,0.72,31610,143.94
NC,0.75,32766,370.11
NC,0.8,33971,335.64
NC,0.79,48624,223.92
NC,0.84,47799,196.07
NC,0.784,43146,259.2
NC,0.807,45738,251.36
NC,0.85,38581,157.26
NC,0.85,36150,163.58
NC,0.841,55531,149.66
NC,0.856,55046,122.95
NC,0.81,35127,161.97
NC,0.85,34811,154.6
NC,0.925,53563,63.01
NC,0.875,60537,82.78
NC,0.812,48930,295.17
NC,0.821,46227,306.21
NC,0.76,39615,213.66
NC,0.78,37122,229.78
NC,0.842,42080,340.65
NC,0.87,43777,307.59
NC,0.755,55371,178.01
NC,0.821,56981,175.45
NC,0.86,31370,206.74
NC,0.89,34476,209.94
NC,0.775,37458,276.95
NC,0.775,39143,261.31
NC,0.875,36871,156.72
NC,0.875,37078,181.39
NC,0.73,38265,214.5
NC,0.78,40528,220.56
NC,0.809,33765,449.91
NC,0.814,35026,395.51
NC,0.81,47087,329.61
NC,0.86,45022,348.23
NC,0.78,45110,554.22
NC,0.81,44038,537.99
NC,0.8,54822,207.24
NC,0.87,57577,194.17
NC,0.9,51900,355.95
NC,0.89,52083,341.0
NC,0.79,43824,239.09
NC,0.819,40424,217.58
NC,0.77,49984,206.83
NC,0.83,49708,197.45
NC,0.69,36075,306.0
NC,0.81,38106,337.32
NC,0.74,50889,640.94
NC,0.77,52331,647.99
NC,0.75,32002,605.71
NC,0.8,33080,576.49
NC,0.79,43049,563.58
NC,0.81,46163,541.6
NC,0.79,42346,146.35
NC,0.8,39312,183.94
NC,0.749,41614,443.08
NC,0.781,42461,391.41
NC,0.825,44273,
NC,0.875,48194,
NC,0.875,32883,
NC,0.925,33553,
NC,0.67,46303,384.95
NC,0.73,48680,364.87
NC,0.76,35050,248.87
NC,0.84,39481,209.99
NC,0.83,43299,504.57
NC,0.85,46093,460.43
NC,0.737,31253,538.3
NC,0.787,32597,517.84
NC,0.73,44998,307.21
NC,0.75,45257,300.76
NC,0.79,40022,260.55
NC,0.79,39320,266.62
NC,0.83,45168,156.19
NC,0.85,44561,161.21
NC,0.84,31861,295.01
NC,0.825,33616,263.86
NC,0.7,44717,165.86
NC,0.74,43987,137.71
NC,,35301,
NC,,36681,
NC,0.862,49666,277.04
NC,0.874,49983,282.0
NC,0.77,37049,389.83
NC,0.86,40511,327.76
NC,0.79,48773,213.55
NC,0.82,50904,198.46
NC,0.775,35159,
NC,0.825,39602,
NC,0.8,43424,216.38
NC,0.84,48061,198.45
NC,0.72,35634,674.18
NC,0.78,34127,621.42
NC,0.827,47799,144.64
NC,0.867,50537,145.42
NC,0.85,36438,106.21
NC,0.85,37219,106.15
NC,0.825,37644,50.01
NC,0.825,37479,70.11
